time_and_dist_prob1,"https://skyfire.vimeocdn.com/1585817912-0x7c98a3c80ced857ad426ef9c65bb11476455a2e5/85f78bf1-f31c-4e9a-9daf-213cedb25bbc/sep/video/178013a2,32a274e9,cfba4ea0,f2194e43/master.json?base64_init=1"
time_and_dist_prob2,"https://skyfire.vimeocdn.com/1585814339-0x84fea6407205ad38c6671621df61a2de4b45658b/36f4cf27-6d4c-4ec8-8baf-787a635eb7df/sep/video/8fce48d6,9253f748,2e999df2,8652afbf/master.json?base64_init=1"
time_and_dist_Train_concept,"https://71vod-adaptive.akamaized.net/exp=1585813436~acl=%2F100d7927-2a3b-4169-8dc1-d84ced5ba8ee%2F%2A~hmac=28d800d0d081146fa071773369555c0927c9df0a490891ded31b88e36cbc6941/100d7927-2a3b-4169-8dc1-d84ced5ba8ee/sep/video/830ab154,a65990d3,f716df2b,27b1dba0/master.json?base64_init=1"
time_and_dist_boatandstreams_concept,"https://84vod-adaptive.akamaized.net/exp=1585812295~acl=%2Fa38ed972-7b0a-404c-ab55-9de9b7d12c93%2F%2A~hmac=46655f2843bd75bda992baacf9a4b66a2e3f76669bf5312a47a71daea31c3cf0/a38ed972-7b0a-404c-ab55-9de9b7d12c93/sep/video/8eef3301,a1b4a85c,c832ffe4,5594705f/master.json?base64_init=1"
time_and_dist_prevpro,"https://skyfire.vimeocdn.com/1585817541-0xd29f2c544c66884c723facc1971486c744910ea7/c5ea6d3b-9925-43f5-b7c6-9ba0d7946a8f/sep/video/c103e710,e7eee787,125036ed,4b9bf134/master.json?base64_init=1"
time_and_work_intro,"https://182vod-adaptive.akamaized.net/exp=1585816078~acl=%2Fde625f1a-273d-4284-9fda-441f8648c32d%2F%2A~hmac=d70c61f4f6492e5e5b256a894b0ca7f53681d787daf49b0a889a498cbed9b9f2/de625f1a-273d-4284-9fda-441f8648c32d/sep/video/42307cdf,647cd664,d0932ecc,f4cb708b/master.json?base64_init=1"
time_and_work_prob1,"https://12vod-adaptive.akamaized.net/exp=1585821300~acl=%2F331650011%2F%2A~hmac=350c6fe83cd46e3e5bc4b015a42bbf459a8238d1f8c3504bb032d87af252dfb4/331650011/sep/video/1304457195,1304457192,1304457190,1304457189,1304457188/master.json?base64_init=1"
time_and_work_prob2,"https://skyfire.vimeocdn.com/1585815788-0x0d2e582cd5a90fa0134be8fd14046b8ba3fc8086/9c996715-2b4b-4821-9853-72bfb15c85d8/sep/video/3eec90ce,4ac181c9,d8adecab,f9759c4f/master.json?base64_init=1"
time_and_work_prepro,"https://skyfire.vimeocdn.com/1585812099-0x29cff27ab98b09f471eb02f26ee4c6278f9635fa/1c137457-1d8c-48a4-a5c2-790f18d66d7b/sep/video/88b48dfa,9162563e,fa575af5,680eab84/master.json?base64_init=1"
pipes_cistern_intro,"https://159vod-adaptive.akamaized.net/exp=1585811736~acl=%2Fda5e1965-fad1-41db-b5c7-c6d3d01857ae%2F%2A~hmac=a004bef655224c725892496af9c35f3d75ba5d2911dad6cb3464e86c0902f69f/da5e1965-fad1-41db-b5c7-c6d3d01857ae/sep/video/088af68e,437b34c5,6298d767,becd5723/master.json?base64_init=1"
